Datetime,Open,High,Low,Close,Volume
2025-12-24 09:00:00-05:00,622.59,622.86,622.33,622.63,100096
2025-12-24 09:30:00-05:00,622.61,622.78,621.76,622.22,584261
2025-12-24 10:00:00-05:00,622.21,622.66,621.72,622.3,2970759
2025-12-24 10:30:00-05:00,622.29,623.075,622.19,622.55,2248424
2025-12-24 11:00:00-05:00,622.55,622.87,622.32,622.82,1505484
2025-12-24 11:30:00-05:00,622.82,623.43,622.78,623.41,1815372
2025-12-24 12:00:00-05:00,623.4,624.08,623.38,623.94,1973376
2025-12-24 12:30:00-05:00,623.95,624.17,623.611,623.9533,1636024
2025-12-24 13:00:00-05:00,623.96,624.28,623.63,623.7,2800146
2025-12-24 13:30:00-05:00,623.69,624.0,622.9188,623.1,881963
2025-12-24 14:00:00-05:00,623.0999,623.15,622.95,623.07,108823
2025-12-24 14:30:00-05:00,623.07,623.25,623.021,623.2168,11465
2025-12-24 15:00:00-05:00,623.21,623.24,623.05,623.1,5768
2025-12-24 15:30:00-05:00,623.1412,623.24,623.1,623.209,5747
2025-12-24 16:00:00-05:00,623.19,623.32,623.18,623.2,11822
2025-12-24 16:30:00-05:00,623.23,623.23,623.14,623.1709,7752
2025-12-24 17:00:00-05:00,623.17,623.17,623.02,623.02,8634
