Datetime,Open,High,Low,Close,Volume
2026-01-12 12:30:00-05:00,694.43,694.64,694.25,694.52,1327251.0
2026-01-12 12:45:00-05:00,694.525,694.535,694.1,694.46,1059496.0
2026-01-12 13:00:00-05:00,694.465,694.76,694.43,694.62,1017808.0
2026-01-12 13:15:00-05:00,694.625,695.055,694.625,694.955,1355903.0
2026-01-12 13:30:00-05:00,694.95,695.2,694.81,695.08,1220631.0
2026-01-12 13:45:00-05:00,695.075,695.16,694.93,695.135,1237801.0
2026-01-12 14:00:00-05:00,695.135,695.39,695.07,695.12,1308633.0
2026-01-12 14:15:00-05:00,695.13,695.29,694.945,695.27,1406839.0
2026-01-12 14:30:00-05:00,695.28,695.46,695.2225,695.415,1575480.0
2026-01-12 14:45:00-05:00,695.42,695.865,695.38,695.67,1779009.0
2026-01-12 15:00:00-05:00,695.66,696.03,695.64,695.9699,1577817.0
2026-01-12 15:15:00-05:00,695.97,696.09,695.47,695.515,2035904.0
2026-01-12 15:30:00-05:00,695.52,695.59,695.18,695.315,2639850.0
2026-01-12 15:45:00-05:00,695.31,695.45,695.18,695.35,2438547.0
2026-01-12 16:00:00-05:00,695.35,695.74,695.12,695.18,6814160.0
2026-01-12 16:15:00-05:00,695.18,695.36,695.0,695.13,2969245.0
2026-01-12 16:30:00-05:00,695.13,695.45,695.07,695.3495,249454.0
2026-01-12 16:45:00-05:00,695.32,695.39,695.26,695.39,63621.0
2026-01-12 17:00:00-05:00,695.36,695.36,694.58,694.87,457229.0
2026-01-12 17:15:00-05:00,694.823,695.02,694.82,694.96,56508.0
2026-01-12 17:30:00-05:00,694.96,695.1108,694.92,695.1108,86513.0
2026-01-12 17:45:00-05:00,695.1,695.19,695.0,695.19,51671.0
2026-01-12 18:00:00-05:00,695.17,695.19,694.69,694.85,82191.0
2026-01-12 18:15:00-05:00,694.85,694.85,694.36,694.7903,81881.0
2026-01-12 18:30:00-05:00,694.7621,694.84,694.6,694.6,10006.0
2026-01-12 18:45:00-05:00,694.64,694.76,694.47,694.47,12794.0
2026-01-12 19:00:00-05:00,694.5395,694.54,694.159,694.159,11897.0
2026-01-12 19:15:00-05:00,694.1,694.25,694.02,694.0799,20358.0
2026-01-12 19:30:00-05:00,694.1497,694.33,694.03,694.03,11933.0
2026-01-12 19:45:00-05:00,694.04,694.1566,693.89,693.91,13876.0
2026-01-12 20:00:00-05:00,693.97,694.0,693.86,693.87,29382.0
