Datetime,Open,High,Low,Close,Volume
2025-12-22 08:35:00-05:00,620.52,620.57,620.49,620.5,8530
2025-12-22 08:40:00-05:00,620.45,620.5,620.2,620.27,38655
2025-12-22 08:45:00-05:00,620.3,620.459,620.3,620.36,12980
2025-12-22 08:50:00-05:00,620.36,620.55,620.34,620.43,16927
2025-12-22 08:55:00-05:00,620.4,620.49,620.28,620.49,11419
2025-12-22 09:00:00-05:00,620.53,620.78,620.49,620.73,37226
2025-12-22 09:05:00-05:00,620.7316,620.96,620.65,620.92,54355
2025-12-22 09:10:00-05:00,620.97,621.071,620.86,621.03,28865
2025-12-22 09:15:00-05:00,621.03,621.08,620.83,620.861,36459
2025-12-22 09:20:00-05:00,620.87,621.27,620.85,621.14,48635
2025-12-22 09:25:00-05:00,621.15,621.29,619.46,621.23,69875
2025-12-22 09:30:00-05:00,621.22,621.45,620.7,620.88,972536
2025-12-22 09:35:00-05:00,620.9,621.65,619.28,619.33,1559288
2025-12-22 09:40:00-05:00,619.33,619.91,618.92,619.43,968915
2025-12-22 09:45:00-05:00,619.44,619.67,618.7525,619.19,991158
2025-12-22 09:50:00-05:00,619.21,620.24,619.1,619.885,762748
2025-12-22 09:55:00-05:00,619.89,620.83,619.8128,620.64,799786
2025-12-22 10:00:00-05:00,620.63,620.76,620.1,620.1727,571003
2025-12-22 10:05:00-05:00,620.15,620.21,619.57,619.78,727750
2025-12-22 10:10:00-05:00,619.78,620.03,619.28,619.28,582719
2025-12-22 10:15:00-05:00,619.27,619.4,618.8413,619.15,695203
2025-12-22 10:20:00-05:00,619.15,619.82,619.02,619.68,870449
2025-12-22 10:25:00-05:00,619.69,619.7601,619.085,619.7001,454403
2025-12-22 10:30:00-05:00,619.68,619.69,619.11,619.15,394929
2025-12-22 10:35:00-05:00,619.15,619.2,618.32,618.51,717209
2025-12-22 10:40:00-05:00,618.53,618.57,617.77,618.18,826938
2025-12-22 10:45:00-05:00,618.17,619.01,618.0899,618.9,497487
2025-12-22 10:50:00-05:00,618.9,619.165,618.51,618.69,414239
2025-12-22 10:55:00-05:00,618.69,619.119,618.595,618.9499,587623
2025-12-22 11:00:00-05:00,618.97,619.29,618.83,618.94,893940
2025-12-22 11:05:00-05:00,618.95,619.1,618.81,618.99,907177
2025-12-22 11:10:00-05:00,619.0,619.45,618.93,619.425,863715
2025-12-22 11:15:00-05:00,619.42,619.675,619.293,619.6,628893
2025-12-22 11:20:00-05:00,619.61,619.94,619.58,619.94,584112
2025-12-22 11:25:00-05:00,619.94,619.94,619.64,619.67,408507
2025-12-22 11:30:00-05:00,619.68,619.84,619.59,619.67,976526
2025-12-22 11:35:00-05:00,619.66,619.6764,619.27,619.39,702263
2025-12-22 11:40:00-05:00,619.39,619.6,619.32,619.58,436182
2025-12-22 11:45:00-05:00,619.58,619.64,619.21,619.39,319878
2025-12-22 11:50:00-05:00,619.39,619.59,619.29,619.58,259198
2025-12-22 11:55:00-05:00,619.58,619.66,619.51,619.64,250125
2025-12-22 12:00:00-05:00,619.64,619.9,619.55,619.6999,343803
2025-12-22 12:05:00-05:00,619.7,619.8595,619.52,619.575,342905
2025-12-22 12:10:00-05:00,619.58,619.7,619.34,619.39,265173
2025-12-22 12:15:00-05:00,619.39,619.57,619.34,619.47,564552
2025-12-22 12:20:00-05:00,619.46,619.6601,619.451,619.48,363217
2025-12-22 12:25:00-05:00,619.475,619.705,619.44,619.505,365429
2025-12-22 12:30:00-05:00,619.51,619.56,619.35,619.41,318807
2025-12-22 12:35:00-05:00,619.39,619.53,619.28,619.49,272983
2025-12-22 12:40:00-05:00,619.48,619.48,619.195,619.25,231370
2025-12-22 12:45:00-05:00,619.245,619.46,619.16,619.28,894365
2025-12-22 12:50:00-05:00,619.28,619.66,619.13,619.66,346358
2025-12-22 12:55:00-05:00,619.67,619.98,619.615,619.8475,379163
2025-12-22 13:00:00-05:00,619.84,620.08,619.7912,619.81,299864
2025-12-22 13:05:00-05:00,619.81,619.97,619.61,619.61,179924
2025-12-22 13:10:00-05:00,619.61,619.63,619.32,619.35,444027
2025-12-22 13:15:00-05:00,619.35,619.5156,619.17,619.22,445750
2025-12-22 13:20:00-05:00,619.22,619.28,618.97,619.145,502537
2025-12-22 13:25:00-05:00,619.15,619.22,618.82,619.04,460889
2025-12-22 13:30:00-05:00,619.04,619.3199,619.0134,619.19,362254
2025-12-22 13:35:00-05:00,619.18,619.33,619.04,619.105,245880
2025-12-22 13:40:00-05:00,619.0999,619.24,619.04,619.1969,370284
2025-12-22 13:45:00-05:00,619.1937,619.44,619.18,619.4188,526347
2025-12-22 13:50:00-05:00,619.41,619.42,619.15,619.18,227654
2025-12-22 13:55:00-05:00,619.16,619.21,618.94,619.065,285300
2025-12-22 14:00:00-05:00,619.06,619.27,619.05,619.2106,504781
2025-12-22 14:05:00-05:00,619.2,619.22,618.99,619.04,270404
2025-12-22 14:10:00-05:00,619.04,619.15,618.91,618.969,360963
2025-12-22 14:15:00-05:00,618.97,619.03,618.86,618.93,259629
2025-12-22 14:20:00-05:00,618.94,619.2,618.93,619.06,335137
2025-12-22 14:25:00-05:00,619.06,619.335,619.06,619.2601,324505
2025-12-22 14:30:00-05:00,619.27,619.5999,619.255,619.54,301793
2025-12-22 14:35:00-05:00,619.54,619.71,619.49,619.58,389877
2025-12-22 14:40:00-05:00,619.58,619.69,619.45,619.472,300452
2025-12-22 14:45:00-05:00,619.47,619.52,619.35,619.39,305710
2025-12-22 14:50:00-05:00,619.4,619.51,619.24,619.28,273509
2025-12-22 14:55:00-05:00,619.285,619.4001,619.195,619.205,235425
2025-12-22 15:00:00-05:00,619.205,619.26,619.145,619.215,279050
2025-12-22 15:05:00-05:00,619.22,619.27,619.14,619.16,266112
2025-12-22 15:10:00-05:00,619.16,619.22,619.01,619.1,350515
2025-12-22 15:15:00-05:00,619.1,619.1699,618.93,618.96,420969
2025-12-22 15:20:00-05:00,618.96,619.27,618.94,619.23,374957
2025-12-22 15:25:00-05:00,619.24,619.27,619.06,619.09,341055
2025-12-22 15:30:00-05:00,619.09,619.24,619.05,619.11,399990
2025-12-22 15:35:00-05:00,619.11,619.395,619.1,619.28,391996
2025-12-22 15:40:00-05:00,619.28,619.385,619.2,619.265,701718
2025-12-22 15:45:00-05:00,619.26,619.34,619.17,619.19,470674
2025-12-22 15:50:00-05:00,619.19,619.3,619.045,619.08,671379
2025-12-22 15:55:00-05:00,619.08,619.49,618.96,619.245,1214868
2025-12-22 16:00:00-05:00,619.25,619.53,619.09,619.51,1346836
2025-12-22 16:05:00-05:00,619.48,619.59,619.21,619.57,231942
2025-12-22 16:10:00-05:00,619.5508,619.58,619.43,619.44,34132
2025-12-22 16:15:00-05:00,619.4601,619.5,619.43,619.4861,508766
2025-12-22 16:20:00-05:00,619.4843,619.51,619.4,619.46,16801
2025-12-22 16:25:00-05:00,619.43,619.43,619.4,619.41,10689
2025-12-22 16:30:00-05:00,619.41,619.41,619.31,619.35,217610
2025-12-22 16:35:00-05:00,619.36,619.45,619.36,619.43,3978
2025-12-22 16:40:00-05:00,619.41,619.45,619.39,619.45,3829
2025-12-22 16:45:00-05:00,619.45,619.48,619.42,619.47,8657
2025-12-22 16:50:00-05:00,619.45,619.46,619.33,619.35,8694
2025-12-22 16:55:00-05:00,619.34,619.43,619.31,619.31,15577
2025-12-22 17:00:00-05:00,619.34,619.45,619.34,619.45,4784
2025-12-22 17:05:00-05:00,619.44,619.65,619.44,619.65,22453
2025-12-22 17:10:00-05:00,619.57,619.71,619.53,619.58,14625
2025-12-22 17:15:00-05:00,619.58,619.58,619.45,619.48,4675
2025-12-22 17:20:00-05:00,619.5,619.5988,619.5,619.5988,3374
2025-12-22 17:25:00-05:00,619.21,619.59,619.21,619.59,2758
2025-12-22 17:30:00-05:00,619.57,619.63,619.51,619.51,1894
2025-12-22 17:35:00-05:00,619.51,619.51,619.4697,619.4697,1886
2025-12-22 17:40:00-05:00,619.49,619.49,619.49,619.49,105
2025-12-22 17:45:00-05:00,619.52,619.58,619.52,619.53,1233
2025-12-22 17:55:00-05:00,619.52,619.54,619.52,619.54,806
